action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
73,1,9,1,21,14,11,2.34375,14.0769232,14.27070183,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
74,1,9,1,14,27,12,4.1406253,1.46154,4.39099955,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
75,1,11,1,14,35,0,61.5624975,0.384616,61.56369895,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
76,1,11,1,35,31,1,55.7812484,3.9230776,55.91903264,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
77,1,11,1,31,27,2,0.2343746,0.4615392,0.51763876,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
79,1,12,1,28,17,0,54.4531216,6.2307692,54.80843855,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
80,1,12,1,17,1,1,38.9843716,6.1538456,39.46708812,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
81,1,12,1,1,23,2,32.0312507,1.46154,32.06457735,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
82,1,12,1,23,1,3,15.781251,14,21.09615802,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
83,1,12,1,1,20,4,25.0781243,7.076924,26.0575358,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
